 ,Area,Mean,Min,Max
1,7,51135.714,32452,58335
2,8,46746.750,23528,58335
3,7,47863.571,20575,58335
4,8,45219.375,17983,58335
5,9,43280.444,17956,58335
6,7,48114.000,20638,58335
7,8,45578.500,23670,58335
8,9,50959.111,21708,58335
9,9,51435.111,25885,58335
10,10,45054.700,14452,58335
11,7,49110.286,21922,58335
12,9,43533.889,18995,58335
13,7,49529.429,25166,58335
14,8,45309.000,16655,58335
15,9,47472.778,25569,58335
16,7,47037.429,13513,58335
17,8,44319.375,18582,58335
18,10,44152.600,20780,58335
19,8,45751.250,23872,58335
20,9,40804.222,10179,58335
21,9,44636.000,19943,58335
22,10,45438.300,20486,58335
23,8,44016.500,17873,58335
24,8,51518.250,29467,58335
25,10,51058.500,14129,58335
26,8,43201.875,16327,58335
27,7,47154.429,17215,58335
28,9,44635.667,26799,58335
29,8,46531.250,20537,58335
30,8,45704.125,21089,58335
31,9,41541.889,17864,58335
32,8,47518.750,22935,58335
33,9,48759.667,22804,58335
34,8,50128.000,21200,58335
35,7,47456.857,13025,58335
36,8,44991.500,20097,58335
37,9,45085.444,23615,58335
38,7,46925.286,13423,58335
39,8,44210.375,12121,58335
40,8,44392.875,18853,58335
41,6,51828.167,19294,58335
42,10,41298.700,11377,58335
43,9,49562.222,15902,58335
44,9,50637.222,17242,58335
45,9,44507.556,22634,58335
46,9,43427.556,21374,58335
47,9,48890.000,26734,58335
48,10,43930.300,19193,58335
49,9,48130.556,22044,58335
50,9,48557.444,21318,58335
51,9,42182.111,14716,58335
52,9,42403.222,16709,58335
53,8,48797.375,29594,58335
54,9,44581.778,23037,58335
55,8,50443.875,23311,58335
56,9,52339.111,36545,58335
57,8,46445.500,24205,58335
58,9,43224.000,21231,58335
59,7,47956.000,15306,58335
60,8,44711.500,15609,58335
61,8,46293.875,24802,58335
62,9,42573.667,15503,58335
63,8,49343.125,31310,58335
64,8,45734.625,20138,58335
65,8,45282.625,20836,58335
66,9,45905.000,21481,58335
67,9,42510.556,20268,58335
68,8,43700.625,17755,58335
69,8,45698.125,23030,58335
70,9,42000.333,19425,58335
71,9,41551.444,17049,58335
72,7,48056.143,19239,58335
73,9,44057.889,14868,58335
74,9,49621.667,33088,58335
75,8,49724.000,19509,58335
76,9,42687.889,14325,58335
77,9,43471.000,21537,58335
78,7,48236.286,20265,58335
79,10,47203.800,16230,58335
80,8,45804.375,21171,58335
81,10,45148.200,24651,58335
82,8,43819.625,15481,58335
83,8,45317.250,17542,58335
84,10,42768.300,12217,58335
85,9,42196.444,19142,58335
86,8,44117.625,17201,58335
87,8,44352.875,18271,58335
88,8,43715.500,13768,58335
89,9,42463.778,18967,58335
90,7,49368.143,25837,58335
91,8,44124.250,19159,58335
92,8,45080.500,18207,58335
93,8,47711.000,23967,58335
94,10,46357.000,22774,58335
95,8,45572.625,20104,58335
96,8,54563.500,38032,58335
97,8,48783.500,19162,58335
98,9,41514.667,17456,58335
99,7,47671.857,19447,58335
100,9,42777.000,19844,58335
101,8,45007.750,16982,58335
102,9,42619.333,19818,58335
103,9,41348.444,17078,58335
104,6,54359.167,34480,58335
105,8,47931.250,23728,58335
106,9,48204.556,28814,58335
107,7,58335.000,58335,58335
108,10,52554.000,24304,58335
109,9,41789.444,17569,58335
110,8,43950.750,13754,58335
111,9,47526.000,18506,58335
112,8,49828.000,23993,58335
113,7,53571.429,24990,58335
114,7,53260.000,22810,58335
115,9,50931.333,24996,58335
116,9,44081.000,24062,58335
117,7,49746.571,26483,58335
118,8,44931.500,13702,58335
119,7,49151.857,18145,58335
120,8,45406.125,19354,58335
121,7,51357.429,32476,58335
122,8,54514.375,27770,58335
123,9,51837.556,28532,58335
124,7,50158.286,24390,58335
125,9,44853.444,23299,58335
126,8,49674.875,29075,58335
127,9,41992.444,15033,58335
128,9,54487.222,23705,58335
129,9,51240.444,22347,58335
130,9,53929.111,18682,58335
131,9,43232.444,21257,58335
132,8,45043.375,18396,58335
133,8,41300.875,7148,58335
134,7,46327.143,11533,58335
135,8,43457.000,15232,58335
136,8,45456.875,21353,58335
137,9,39803.111,11247,58335
138,8,43624.750,14516,58335
139,7,46490.857,14745,58335
140,6,51504.167,17350,58335
141,7,45118.143,10313,58335
142,9,42466.000,14348,58335
143,7,48052.429,21435,58335
144,8,43632.500,11890,58335
145,8,45474.875,20550,58335
146,8,44906.375,19774,58335
147,9,41775.556,16964,58335
148,9,44919.778,25662,58335
149,8,45726.750,22401,58335
150,9,42435.778,21627,58335
151,6,52443.667,22987,58335
152,6,51653.833,18248,58335
153,8,44165.375,11824,58335
154,9,43890.556,20674,58335
155,8,46997.125,24879,58335
156,7,48410.143,19230,58335
157,8,44064.750,13057,58335
158,8,43706.750,17368,58335
159,8,43306.375,13769,58335
160,8,44806.625,19170,58335
161,7,46067.714,11720,58335
162,9,45074.222,14723,58335
163,9,40874.667,13932,58335
164,7,48022.571,19722,58335
165,9,43591.111,24314,58335
166,8,43463.500,15152,58335
167,10,41915.300,12805,58335
168,9,41960.556,15866,58335
169,8,43969.750,13153,58335
170,8,48122.625,12650,58335
171,9,40063.333,14805,58335
172,10,42961.400,17338,58335
173,9,41845.667,18307,58335
174,8,44303.125,18069,58335
175,8,48298.875,29870,58335
176,7,51922.429,35392,58335
177,8,47971.375,22599,58335
178,7,49228.714,24403,58335
179,9,43417.667,21942,58335
180,8,44346.875,12656,58335
181,9,47107.778,28782,58335
182,10,43860.700,17499,58335
183,8,45047.250,21756,58335
184,7,47675.286,15757,58335
185,9,38203.111,5622,58335
186,9,41789.000,19669,58335
187,9,51269.444,20943,58335
188,9,51715.111,28434,58335
189,7,54858.857,34002,58335
190,8,48854.125,18033,58335
191,8,50675.750,21472,58335
192,8,43130.500,13510,58335
193,9,42378.222,20453,58335
194,8,43941.375,11915,58335
195,8,46843.500,25224,58335
196,9,45936.778,26761,58335
197,7,48888.286,20520,58335
198,8,41992.125,10049,58335
199,8,43166.125,14307,58335
200,8,44033.875,17714,58335
201,6,50727.333,12689,58335
202,8,48615.250,19385,58335
203,7,53354.429,23471,58335
204,9,44451.111,21227,58335
205,8,44454.000,17751,58335
206,8,48375.375,28715,58335
207,9,44620.444,26161,58335
208,8,45465.875,20990,58335
209,7,46570.000,12213,58335
210,8,47107.500,24621,58335
211,9,43462.000,18820,58335
212,9,41730.889,15713,58335
213,9,44591.444,21688,58335
214,7,50218.571,29280,58335
215,9,41970.667,19077,58335
216,8,45057.500,21282,58335
217,9,44932.111,25279,58335
218,9,44932.111,25279,58335
219,9,45800.222,21810,58335
220,6,56251.833,45836,58335
221,7,51628.286,32923,58335
222,9,41575.444,15506,58335
223,9,42631.556,17704,58335
224,9,47701.556,26140,58335
225,8,45114.125,16646,58335
226,8,47703.125,23966,58335
227,9,43378.000,21037,58335
228,7,46931.000,13867,58335
229,9,38316.444,5788,58335
230,7,51820.000,32820,58335
231,8,46830.750,25453,58335
232,8,44604.250,18586,58335
233,9,41838.556,15382,58335
234,9,43995.444,21579,58335
235,8,47948.500,24136,58335
236,7,47390.857,19481,58335
237,8,46777.500,22132,58335
238,8,45162.375,22226,58335
239,9,40690.667,13721,58335
240,10,48106.700,15743,58335
241,7,53753.857,26267,58335
242,9,42603.556,18557,58335
243,8,47016.375,27493,58335
244,7,48568.857,22032,58335
245,7,48753.429,17289,58335
246,8,46667.125,24836,58335
247,9,42013.556,17597,58335
248,9,41506.333,13640,58335
249,9,43253.667,16791,58335
250,9,42473.667,21412,58335
251,9,45017.667,27002,58335
252,9,41445.556,12929,58335
253,8,49904.125,33184,58335
254,9,50776.444,35116,58335
255,9,45484.222,24727,58335
256,8,48214.625,28675,58335
257,9,52519.444,41248,58335
258,8,50919.750,33654,58335
259,9,46516.556,28368,58335
260,9,45465.333,18840,58335
261,9,40132.111,14379,58335
262,8,49047.500,17162,58335
263,10,48162.700,21128,58335
264,8,46073.000,18149,58335
265,7,46204.000,11818,58335
266,10,41645.300,12797,58335
267,10,44008.800,18662,58335
268,9,46935.556,29269,58335
269,8,45860.375,19719,58335
270,7,48749.000,19111,58335
271,8,44077.375,14563,58335
272,9,42847.889,13105,58335
273,8,48298.500,25557,58335
274,7,46855.571,14624,58335
275,8,43212.000,10587,58335
276,9,44466.556,11458,58335
277,8,43530.250,16074,58335
278,7,47211.000,19267,58335
279,8,41971.250,12022,58335
280,9,41157.111,15195,58335
281,9,43965.333,21232,58335
282,10,45006.200,18588,58335
283,9,47515.444,32186,58335
284,9,46337.889,25429,58335
285,10,42673.600,13384,58335
286,10,42223.000,12510,58335
287,9,45399.444,20067,58335
288,7,54840.286,33872,58335
289,10,45494.000,22744,58335
290,7,46000.857,13694,58335
291,9,46095.000,22833,58335
292,6,53534.000,29529,58335
293,9,43005.667,17247,58335
294,8,46840.375,24916,58335
295,8,51859.625,23422,58335
296,9,47639.444,21613,58335
297,9,50653.333,22531,58335
298,9,56820.667,44706,58335
299,9,43990.000,13814,58335
300,10,44649.200,20985,58335
301,8,47612.625,21618,58335
302,8,46541.875,19480,58335
303,8,46362.875,20278,58335
304,9,43030.444,20813,58335
305,8,48919.375,28897,58335
306,8,48149.500,29226,58335
307,9,43659.556,16959,58335
308,10,52060.500,25119,58335
309,10,52534.000,28427,58335
310,8,43852.875,14358,58335
311,8,44448.875,16833,58335
312,6,51482.333,17219,58335
313,9,39507.111,10448,58335
314,8,46397.250,24616,58335
315,9,41420.778,15674,58335
316,7,47615.143,19110,58335
317,8,44748.125,20847,58335
318,9,40929.667,12430,58335
319,7,54781.857,33463,58335
320,9,48904.333,12121,58335
321,9,42243.222,21111,58335
322,7,47225.143,13575,58335
323,9,43114.778,19189,58335
324,8,43423.500,12610,58335
325,8,48082.250,25683,58335
326,9,45677.889,26458,58335
327,7,45528.143,7927,58335
328,8,43954.875,14021,58335
329,8,44523.875,17424,58335
330,10,45034.700,23379,58335
331,9,47203.889,26377,58335
332,8,44117.000,12939,58335
333,8,49156.875,20415,58335
334,8,50369.750,24733,58335
335,9,41880.222,16506,58335
336,9,43567.222,19822,58335
337,8,51764.625,31677,58335
338,8,44667.125,17829,58335
339,9,43844.556,11238,58335
340,8,45424.625,17519,58335
341,8,44145.625,14587,58335
342,8,44314.250,19423,58335
343,10,45189.600,18570,58335
344,7,58335.000,58335,58335
345,8,58335.000,58335,58335
346,10,47869.100,21301,58335
347,9,44073.556,17141,58335
348,8,44183.000,15970,58335
349,8,43033.000,14383,58335
350,9,43124.778,21135,58335
351,10,42714.700,16214,58335
352,6,51374.333,16571,58335
353,9,41982.778,19872,58335
354,7,48124.714,16340,58335
355,9,45420.556,26732,58335
356,8,46493.625,21490,58335
357,8,48572.625,29390,58335
358,9,42729.111,13797,58335
359,9,42835.889,18885,58335
360,9,41882.000,18586,58335
361,8,45126.625,21969,58335
362,8,45403.750,17091,58335
363,8,45210.000,19405,58335
364,8,44858.750,19285,58335
365,9,40378.778,15033,58335
366,7,47418.143,16797,58335
367,9,47359.444,28309,58335
368,8,46411.500,23189,58335
369,9,39902.778,10797,58335
370,8,44381.875,15035,58335
371,7,48303.286,21075,58335
372,9,41732.889,15105,58335
373,10,43719.100,17220,58335
374,9,42087.222,17894,58335
375,8,43615.000,15134,58335
376,9,40724.778,11639,58335
377,8,45475.250,15184,58335
378,9,43192.444,20475,58335
379,8,46891.750,23275,58335
380,8,48708.000,19327,58335
381,9,50254.889,20835,58335
382,7,50530.571,28978,58335
383,8,44958.875,20589,58335
384,8,44594.875,18054,58335
385,9,41320.000,12500,58335
386,7,48397.143,22353,58335
387,9,44286.667,20248,58335
388,9,46638.111,27605,58335
389,8,46471.375,23726,58335
390,8,46251.875,22396,58335
391,8,45632.750,16844,58335
392,8,43378.500,16694,58335
393,8,42563.625,10433,58335
394,7,47651.143,17991,58335
395,9,41823.444,17266,58335
396,9,41128.889,14986,58335
397,8,50512.250,35016,58335
398,8,46971.375,23168,58335
399,7,48039.429,19006,58335
400,10,42673.500,13874,58335
401,7,49106.000,23105,58335
402,9,46503.667,19135,58335
403,9,42405.889,18824,58335
404,8,45241.625,19545,58335
405,8,42163.250,14307,58335
406,9,39300.667,10476,58335
407,9,41588.444,13269,58335
408,8,46241.625,20917,58335
409,8,43252.250,16643,58335
410,8,45901.500,19832,58335
411,7,46727.571,10248,58335
412,9,43806.667,18570,58335
413,9,41154.667,18012,58335
414,9,41226.556,16215,58335
415,8,44279.250,17788,58335
416,8,46831.250,21647,58335
417,8,45331.000,20081,58335
418,9,43892.556,18291,58335
419,6,52174.167,21370,58335
420,9,43489.778,20756,58335
421,8,47917.250,25641,58335
422,8,44124.625,16733,58335
423,7,53203.000,31468,58335
424,8,47828.875,21808,58335
425,9,44893.444,14693,58335
426,8,43517.875,12429,58335
427,8,44256.500,19623,58335
428,10,41792.400,13110,58335
429,9,40180.556,14437,58335
430,7,47672.000,19421,58335
431,8,48170.500,24359,58335
432,9,42287.889,17522,58335
433,7,47915.714,18429,58335
434,10,44146.500,18565,58335
435,7,48038.857,22189,58335
436,9,46140.444,26865,58335
437,8,50072.625,30314,58335
438,9,42423.111,17333,58335
439,9,42504.667,19214,58335
440,7,45071.857,11307,58335
441,9,41002.556,17016,58335
442,9,42608.333,19845,58335
443,8,43909.250,14476,58335
444,8,42530.000,7566,58335
445,10,43770.000,17072,58335
446,8,45098.750,20334,58335
447,8,44457.250,14924,58335
448,9,41646.111,16245,58335
449,7,50164.429,26613,58335
450,9,42750.778,20412,58335
451,9,41148.778,15883,58335
452,8,42084.375,10866,58335
453,7,46343.143,15006,58335
454,10,42575.900,14943,58335
455,9,40923.667,12573,58335
456,7,47942.571,21842,58335
457,7,49127.429,23515,58335
458,8,45038.250,20013,58335
459,6,53652.000,30237,58335
460,6,52096.667,20905,58335
461,8,45262.625,21640,58335
462,9,42803.889,15146,58335
463,8,47721.750,25792,58335
464,9,40901.000,16084,58335
465,7,45789.857,11769,58335
466,8,45466.750,20322,58335
467,10,40754.700,9426,58335
468,8,41697.875,11634,58335
469,8,42694.250,15349,58335
470,8,45794.375,22445,58335
471,9,43373.111,18798,58335
472,8,46545.375,20951,58335
473,9,39661.222,13758,58335
474,9,41124.333,17517,58335
475,9,37685.444,8844,58335
476,8,44660.250,16282,58335
477,7,49290.143,24238,58335
478,9,41983.889,13167,58335
479,9,46738.667,15584,58335
480,8,43684.125,14202,58335
481,8,43059.000,11166,58335
482,7,47147.000,18835,58335
483,8,43928.250,15272,58335
484,8,44346.375,18064,58335
485,9,42546.444,8075,58335
486,9,46326.778,15335,58335
487,8,45067.500,18512,58335
488,7,46600.571,10891,58335
489,9,42784.333,17789,58335
490,9,43119.111,8505,58335
491,9,40335.778,13492,58335
492,8,43517.500,15426,58335
